ACCESSION: NGA04358
RECORD_TITLE: 9,13-Epoxy-3,15,16,18-labdanetetrol; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0; [M+HCOO]-
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Diterpenoids, Labdane diterpenoids
CH$NAME: 9,13-Epoxy-3,15,16,18-labdanetetrol
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C20H36O5
CH$EXACT_MASS: 356.5069
CH$SMILES: C[C@H]1CCC2[C@](C)(CC[C@H](O)[C@@]2(C)CO)[C@@]12CCC(CO)(CCO)O2
CH$IUPAC: InChI=1S/C20H36O5/c1-14-4-5-15-17(2,12-22)16(24)6-7-18(15,3)20(14)9-8-19(13-23,25-20)10-11-21/h14-16,21-24H,4-13H2,1-3H3/t14-,15?,16-,17-,18-,19?,20+/m0/s1
CH$LINK: INCHIKEY XYPPDQHBNJURHU-NSGLWTTCSA-N
CH$LINK: PUBCHEM CID:12304971
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+HCOO]-
PK$SPLASH: splash10-0fri-3988880000-ba283fbb6f31af56b975
PK$NUM_PEAK: 3868
PK$PEAK: m/z int. rel.int.
  171.8 6.5 6
  171.9 9.26 9
  172.0 14.34 14
  172.1 17.32 17
  172.2 16.07 16
  172.3 12.39 12
  172.5 10.94 10
  172.6 14.72 14
  172.7 18.47 18
  172.8 19.16 19
  172.9 16.09 16
  173.0 11.61 11
  173.2 9.79 9
  173.3 11.97 11
  173.4 12.8 12
  173.5 11.56 11
  173.6 10.31 10
  173.7 11.34 11
  173.8 14.97 14
  173.9 18.76 18
  174.0 19.59 19
  174.1 16.2 16
  174.2 10.26 10
  174.4 5.78 5
  174.5 9.97 9
  174.6 14.32 14
  174.7 15.13 15
  174.8 12.39 12
  174.9 8.74 8
  175.1 6.9 6
  175.2 9.77 9
  175.3 13.25 13
  175.4 14.63 14
  175.5 13.38 13
  175.6 12.19 12
  175.7 13.6 13
  175.8 16.47 16
  175.9 17.21 17
  176.0 14.63 14
  176.1 10.96 10
  176.3 9.32 9
  176.4 11.12 11
  176.5 12.95 12
  176.6 13.29 13
  176.7 10.85 10
  177.0 5.04 5
  177.1 10.51 10
  177.2 16.63 16
  177.3 19.14 19
  177.4 16.25 16
  177.5 10.51 10
  177.7 9.44 9
  177.8 14.25 14
  177.9 16.18 16
  178.0 13.42 13
  178.2 9.01 9
  178.3 12.73 12
  178.4 16.76 16
  178.5 17.14 17
  178.6 13.38 13
  178.7 8.43 8
  178.9 6.28 6
  179.0 9.75 9
  179.1 13.49 13
  179.2 14.34 14
  179.3 11.39 11
  179.5 7.69 7
  179.6 12.42 12
  179.7 18.09 18
  179.8 20.15 20
