ACCESSION: NGA00928
RECORD_TITLE: 3-Hydroxy-12-ursen-28-oic acid; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: 3-Hydroxy-12-ursen-28-oic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C30H48O3
CH$EXACT_MASS: 456.7153
CH$SMILES: C[C@@H]1C2C3=CC[C@@H]4[C@@]5(C)CCC(O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CCC2(C(=O)O)CC[C@H]1C
CH$IUPAC: InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23?,24?,27+,28-,29-,30?/m1/s1
CH$LINK: CAS 77-52-1
CH$LINK: CHEMSPIDER 58472
CH$LINK: INCHIKEY WCGUUGGRBIKTOS-MUVOVJNASA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-004r-4889880000-f7c8891e237b8b46088a
PK$NUM_PEAK: 3788
PK$PEAK: m/z int. rel.int.
  116.5 15.64 15
  116.6 12.14 12
  116.8 6.96 6
  116.9 10.35 10
  117.0 14.01 13
  117.1 14.82 14
  117.2 13.42 13
  117.9 5.82 5
  118.0 7.39 7
  118.1 11.16 11
  118.2 15.73 15
  118.3 18.56 18
  118.4 17.56 17
  118.5 13.07 13
  118.7 8.31 8
  118.8 13.08 13
  118.9 18.78 18
  119.0 19.88 19
  119.1 15.37 15
  119.2 9.72 9
  119.9 5.98 5
  120.0 8.63 8
  120.1 14.14 14
  120.2 18.14 18
  120.3 17.09 17
  120.4 12.17 12
  120.6 8.56 8
  120.7 12.29 12
  120.8 15.91 15
  120.9 16.78 16
  121.0 14.68 14
  121.3 10.13 10
  121.4 14.46 14
  121.5 17.93 17
  121.6 16.55 16
  121.7 11.13 11
  121.9 7.35 7
  122.0 11.27 11
  122.1 13.89 13
  122.2 12.4 12
  122.3 7.96 7
  122.5 5.78 5
  122.6 10.18 10
  122.7 14.37 14
  122.8 15.75 15
  122.9 14.47 14
  123.0 11.97 11
  123.2 9.37 9
  123.3 11.86 11
  123.4 15.29 15
  123.5 16.01 15
  123.6 12.72 12
  123.8 7.54 7
  123.9 10.59 10
  124.0 14.36 14
  124.1 15.44 15
  124.2 13.12 13
  124.3 9.37 9
  124.5 7.47 7
  124.6 10.72 10
  124.7 13.74 13
  124.8 13.63 13
  125.1 9.16 9
  125.2 14.24 14
  125.3 19.52 19
  125.4 20.2 20
  125.5 14.89 14
  125.8 6.77 6
  125.9 13.74 13
  126.0 18.39 18
  126.1 16.37 16
  126.2 9.52 9
  126.4 5.66 5
  126.5 12.19 12
  126.6 18.04 18
  126.7 18.51 18
