  378.9 6.3 6
  379.0 6.16 6
  379.1 5.84 5
  379.2 5.32 5
  379.3 5.04 5
  379.4 5.38 5
  379.5 6.06 6
  379.6 6.47 6
  379.7 6.34 6
  379.8 6.06 6
  379.9 6.13 6
  380.0 6.7 6
  380.1 7.43 7
  380.2 7.65 7
  380.3 6.99 6
  380.8 5.55 5
  380.9 6.57 6
  381.0 7.36 7
  381.1 7.76 7
  381.2 7.71 7
  381.3 7.23 7
  381.4 6.59 6
  381.5 6.22 6
  381.6 6.21 6
  381.7 6.16 6
  381.8 5.83 5
  381.9 5.5 5
  382.0 5.5 5
  382.1 5.78 5
  382.2 6.02 6
  382.3 6.1 6
  382.4 6.14 6
  382.5 6.29 6
  382.6 6.46 6
  382.7 6.6 6
  382.8 6.96 6
  382.9 7.73 7
  383.0 8.58 8
  383.1 8.83 8
  383.2 8.06 8
  383.3 6.5 6
  386.7 4.45 4
  386.8 5.18 5
  386.9 6.15 6
  387.0 7.42 7
  387.1 8.69 8
  387.2 9.39 9
  387.3 9.19 9
  387.4 8.17 8
  387.5 6.68 6
  388.8 2.08 2
  388.9 3.26 3
  389.0 5.16 5
  389.1 6.86 6
  389.2 7.41 7
  389.3 6.73 6
  393.1 3.88 3
  393.2 5.48 5
  393.3 6.67 6
  393.4 6.74 6
  393.5 5.9 5
  393.6 4.83 4
  394.1 2.73 2
  394.2 3.88 3
  394.3 5.04 5
  394.4 5.4 5
  394.5 4.97 4
  394.6 4.51 4
  394.7 4.57 4
  394.8 4.95 4
  394.9 5.14 5
  395.0 4.94 4
  395.1 4.53 4
  395.2 4.26 4
  395.3 4.37 4
  395.4 4.89 4
  395.5 5.44 5
  395.6 5.63 5
  395.7 5.34 5
  395.8 4.9 4
  395.9 4.64 4
  396.0 4.74 4
  396.1 5.17 5
  396.2 5.72 5
  396.3 6.05 6
  396.4 5.99 5
  396.5 5.64 5
  396.6 5.28 5
  396.7 5.05 5
  396.8 4.8 4
